epoch,total_loss,reconstruction_loss,kl_divergence
1,191.3612384765625,185.5218092122396,5.839429455175003
2,168.43942486979168,163.01538528645833,5.424039698282877
3,163.7504831542969,158.20561315104166,5.5448698211669925
4,161.12593289388022,155.52076728515624,5.60516541595459
5,159.33240328776043,153.65217080078125,5.680232321166992
6,157.96166546223958,152.2278866861979,5.733779051717122
7,156.86738611653647,151.05750372721354,5.809882522583008
8,156.00567506510416,150.16313204752603,5.842543095906575
9,155.19414283854167,149.31068935546875,5.883453538004558
10,154.49418837890624,148.562065234375,5.932123024495443
11,153.82783333333333,147.859794921875,5.96803830871582
12,153.33936642252604,147.32326393229167,6.016102766927084
13,152.77673875325522,146.73746350911458,6.0392754353841145
14,152.31559264322917,146.259078125,6.056514446004232
15,151.87711940104165,145.80308551432293,6.074033851114909
